Participant,Start,End,Sentence
18.Pink.179,13:38.3,13:40.8,"""So the map should be nine"""
18.Orange.86,13:43.1,13:45.1,"""Could you go in order again"""
18.Orange.87,13:45.1,13:46.2,"""I want to check"""
18.Pink.180,13:45.9,13:49.0,"""So one is the extra shirt and pants for each survivor"""
18.Pink.181,13:49.0,13:51.2,"""So thats good we all agree on that"""
18.Pink.182,13:51.3,13:53.6,"""Two is the family sized chocolate bar"""
18.Pink.183,13:54.1,13:55.3,"""Should we keep that"""
18.Pink.184,13:55.7,13:58.7,"""I know I dont think I think we should switch that one out"""
18.Blue.88,13:56.4,13:57.3,"""I dont know"""
18.Blue.89,13:58.7,14:01.7,"""I think the map and the compass would are probably more important"""
18.Pink.185,14:01.1,14:01.8,"""Yeah"""
18.Pink.186,14:02.0,14:06.0,"""So should we do two as the"""
18.Orange.88,14:07.9,14:10.7,"""Ski poles are way more important now I guess"""
18.Blue.90,14:12.7,14:15.1,"""Cause you can actually put them in the snow now"""
18.Pink.187,14:14.4,14:15.2,"""Yeah"""
18.Pink.188,14:16.0,14:19.0,"""So should we put the ski poles as two or no"""
18.Blue.91,14:19.0,14:19.9,"""Yeah do two"""
18.Orange.89,14:19.9,14:20.5,"""Yeah same"""
18.Pink.189,14:23.2,14:23.8,"""Uh"""
18.Pink.190,14:26.0,14:26.5,"""Two"""
18.Pink.191,14:26.5,14:29.9,"""And then for three we have the knife"""
18.Pink.192,14:29.9,14:30.7,"""Should we keep that"""
18.Blue.92,14:30.8,14:31.3,"""Yes"""
18.Pink.193,14:31.4,14:34.3,"""And then four thirty feet of rope"""
18.Blue.93,14:35.4,14:36.4,"""Sure $"""
18.Pink.194,14:36.4,14:37.8,"""$"""
18.Pink.195,14:38.5,14:40.7,"""Five the flashlight with batteries"""
18.Pink.196,14:41.3,14:44.5,"""And then six is the loaded pistol"""
18.Blue.94,14:42.8,14:43.5,"""Yeah"""
18.Orange.90,14:44.2,14:44.9,"""Definitely"""
18.Pink.197,14:45.2,14:47.3,"""And then we dont have a seven now"""
18.Pink.198,14:47.6,14:49.8,"""So should we make the compass seven"""
18.Blue.95,14:49.5,14:49.9,"""Yes"""
18.Pink.199,14:50.0,14:50.4,"""Okay"""
18.Blue.96,14:50.6,14:53.6,"""And then uh air map eight"""
18.Orange.91,14:51.7,14:53.0,"""Air map eight"""
18.Pink.200,14:52.3,14:53.3,"""Eight we have"""
18.Pink.201,14:53.8,14:56.9,"""Air map eight"""
18.Pink.202,14:58.7,15:01.8,"""And then nine should be newspaper then"""
18.Pink.203,15:03.9,15:05.0,"""And then [unclear]"""
18.Pink.204,15:05.0,15:07.7,"""Oh shoot the ball of steel wool is nine"""
18.Pink.205,15:07.9,15:08.8,"""Put it as"""
18.Orange.92,15:09.7,15:11.4,"""That ones probably not as important"""
18.Blue.97,15:10.0,15:12.5,"""Th do like thirteen or something"""
18.Pink.206,15:12.1,15:12.8,"""Thirteen"""
18.Blue.98,15:12.6,15:13.1,"""Yeah"""
18.Pink.207,15:15.2,15:16.6,"""Oh and so"""
